제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,축 종류,스위치 방식,래피드 트리거,연결 방식
독거미(AULA),F75,48740,,,https://aulakeyboard.com/product/aula-f75/?utm_source=chatgpt.com,https://aulakeyboard.com/wp-content/uploads/2025/04/%E7%94%BB%E6%9D%BF%E5%86%B0%E5%B7%9D%E8%93%9D%EF%BC%8C%E6%94%B6%E5%89%B2%E8%80%85%E8%BD%B4-300x300.jpg?utm_source=chatgpt.com,,Crescent / Ice Vein / Liuli / X3 / Reaper,기계식,X,USB-C / 2.4GHz / Bluetooth
독거미(AULA),F87 Pro V2,38480,,,https://aulakeyboard.com/product/aula-f87-pro-v2/?utm_source=chatgpt.com,https://aulakeyboard.com/wp-content/uploads/2025/09/Black-Mist-Transparent-Caramel-Latte-Switch-12000mAh.jpg,,StarArrow / Strawberry Mint / X3 / Meteor Ice Cream / Greywood V4,기계식,X,USB-C / 2.4GHz / Bluetooth
독거미(AULA),F99,49590,,,https://aulakeyboard.com/product/aula-f99/?utm_source=chatgpt.com,https://aulakeyboard.com/wp-content/uploads/2025/04/%E5%B8%A6%E8%BD%B4%E4%BD%93%E6%98%9F%E8%90%BD%E5%87%9D%E4%BA%91%EF%BC%8C%E6%96%B0%E6%9C%88%E8%BD%B4-300x300.jpg?utm_source=chatgpt.com,,—,기계식,X,USB-C / 2.4GHz / Bluetooth
독거미(AULA),F99 Pro,65200,,,https://aulakeyboard.com/product/aula-f99-pro/?utm_source=chatgpt.com,https://aulakeyboard.com/wp-content/uploads/2025/05/Blue-Side-Printed-300x300.jpg?utm_source=chatgpt.com,,Star Arrow / LEOBOG Nimbus V3,기계식,X,USB-C / 2.4GHz / Bluetooth
독거미(AULA),F65,82600,,,https://aulakeyboard.com/product/aula-f65/?utm_source=chatgpt.com,https://aulakeyboard.com/wp-content/uploads/2025/04/%E7%94%BB%E6%9D%BF-2-2-300x300.jpg?utm_source=chatgpt.com,,EPOMAKER Flamingo / LEOBOG Greywood V3 / LEOBOG Reaper,기계식,X,USB-C / 2.4GHz / Bluetooth
우팅(Wooting),Wooting 80HE,273200,,,https://wooting.io/wooting-80he,https://img.danuri.io/catalog-image/988/059/056/65bf12873d284759a11bd6c5e535f19a.jpg?shrink=330:*&_v=20260916080424,,Lekker L60 v2 / L45 v2,Hall Effect 마그네틱,O,USB
우팅(Wooting),Wooting 60HE v2,245900,,,https://wooting.io/wooting-60he-v2,https://img.danuri.io/catalog-image/166/702/106/e3f3651de02a40978788336c769a4c1d.jpg?shrink=330:*&_v=20260916080628,,Lekker Tikken,Hall Effect 마그네틱,O,USB
우팅(Wooting),Wooting Two HE,440000,,,https://wooting.io/wooting-two-he,https://img.danuri.io/catalog-image/423/843/047/3415966ae9ef4a089472700474922f1f.jpg?shrink=330:*&_v=20260915080424,,Lekker Switch,Hall Effect 마그네틱,O,USB
레이저(Razer),Huntsman V3 Pro,318350,,,https://www.razer.com/kr-kr/gaming-keyboards/razer-huntsman-v3-pro?utm_source=chatgpt.com,https://assets2.razerzone.com/images/pnx.assets/633cf4bb9ab04ad74a519053ec300085/razer-huntsman-v3-pro-hero-desktop-v3.webp,,Razer Analog Optical Switch Gen-2,아날로그 광학식,O,USB
레이저(Razer),Huntsman V3 Pro TKL,245820,,,https://www.razer.com/kr-kr/gaming-keyboards/razer-huntsman-v3-pro-tenkeyless?utm_source=chatgpt.com,https://assets3.razerzone.com/aJ35BGn2XfFLuNHZtruJnwsT_mE=/1500x1000/https%3A%2F%2Fmedias-p1.phoenix.razer.com%2Fsys-master-phoenix-images-container%2Fh9c%2Fh37%2F9662065770526%2F230921-huntsman-v3-pro-tkl-1500x1000-1.jpg,,Razer Analog Optical Switch Gen-2,아날로그 광학식,O,USB
레이저(Razer),BlackWidow V4 Pro 75%,399900,,,https://www.razer.com/kr-kr/gaming-keyboards/razer-blackwidow-v4-pro-75?utm_source=chatgpt.com,https://assets2.razerzone.com/images/pnx.assets/a9c99838e1c4969dfcc3593112ebc4bc/batterylife-desktop.webp,,Razer Mechanical Switch 계열,기계식,X,USB / HyperSpeed / Bluetooth
레이저(Razer),BlackWidow V4 75%,299000,,,https://www.razer.com/kr-kr/gaming-keyboards/razer-blackwidow-v4-75?utm_source=chatgpt.com,https://assets2.razerzone.com/images/pnx.assets/1342aa8b6300f54c0f5c4f9553e7856a/razer-blackwidow-v4-75-hero.jpg,,Razer Orange Mechanical Gen-3,기계식,X,USB
레이저(Razer),BlackWidow V4 Low-Profile HyperSpeed,319780,,,https://www.razer.com/kr-kr/gaming-keyboards/razer-blackwidow-v4-low-profile-hyperspeed?utm_source=chatgpt.com,https://assets2.razerzone.com/images/pnx.assets/a20e5d60aacdf0b815e2393475b35440/razer-blackwidow-v4-low-profile-tenkeyless-hyperspeed-low-profile-desktop.webp,,Low-profile Green / Orange / Yellow,로우프로파일 기계식,X,USB / HyperSpeed / Bluetooth
스틸시리즈(SteelSeries),Apex Pro Gen 3,327800,,,https://steelseries.com/ko-kr/gaming-keyboards/apex-pro-gen-3?utm_source=chatgpt.com,https://img.danuri.io/catalog-image/105/625/067/a4589efc93124ebaa8f5f8a63eb7a9b4.jpg,,OmniPoint 3.0,Hall Effect 마그네틱,O,USB
스틸시리즈(SteelSeries),Apex Pro TKL Gen 3,300500,,,https://steelseries.com/ko-kr/gaming-keyboards/apex-pro-gen-3?color=black&connectivityType=wired&keyboardLanguage=korean&keyboardSize=tkl&utm_source=chatgpt.com,https://img.danuri.io/catalog-image/198/625/067/81ca673f53b140fc8b2cf0988408e272.jpg,,OmniPoint 3.0,Hall Effect 마그네틱,O,USB
스틸시리즈(SteelSeries),Apex Pro TKL Wireless Gen 3,341500,,,https://steelseries.com/ko-kr/gaming-keyboards/apex-pro-gen-3?color=black&connectivityType=wireless&keyboardLanguage=english&keyboardSize=tkl&utm_source=chatgpt.com,https://images.ctfassets.net/hmm5mo4qf4mf/10Ha85UPT5m40kjCWNdEfl/e02775f70a9cdbaa5cea5f93655e6ba4/apex_pro_tkl_wl_gen_3_black_img_buy_01.png__1920x1080_crop-fit_optimize_subsampling-2-3770.png?fm=webp&q=90&fit=scale&w=1200,,OmniPoint 3.0,Hall Effect 마그네틱,O,USB / 2.4GHz / Bluetooth
스틸시리즈(SteelSeries),Apex Pro Mini Gen 3,273200,,,https://steelseries.com/ko-kr/gaming-keyboards/apex-pro-gen-3?color=black&connectivityType=wired&keyboardLanguage=english&keyboardSize=mini&utm_source=chatgpt.com,https://images.ctfassets.net/hmm5mo4qf4mf/4NaPLI4cjylMlkGsm8J5jW/4d0783bd5f7e1b1f9cb80d09398f8e9a/apex_pro_mini_gen_3_black_img_buy_01_us.png?fm=webp&q=90&fit=scale&w=1200,,OmniPoint 3.0,Hall Effect 마그네틱,O,USB
스틸시리즈(SteelSeries),Apex 9 TKL,191200,,,https://steelseries.com/ko-kr/gaming-keyboards/apex-9?utm_source=chatgpt.com,https://images.ctfassets.net/hmm5mo4qf4mf/6Sf2oGi3Vina11Oe93Wq6/d8e5dd0fabead87ec1bbed3394b8c8d2/imgbuy_apex_9_tkl_01.png__1920x1080_crop-fit_optimize_subsampling-2-3216.png?fm=webp&q=90&fit=scale&w=1200,,OptiPoint,광학식,X,USB
DrunkDeer,A75 Ultra,191200,,,https://drunkdeer.com/products/drunkdeer-a75-ultra-magnetic-keyboard-he-keyboard-keyboard-for-fps-gaming-keyboard?_pos=1&_sid=c7371bad2&_ss=r,https://drunkdeer.com/cdn/shop/files/6391ace427ade714b70fb966024ae804.jpg?v=1761643465&width=1600,,DrunkDeer Qian Switch,Hall Effect 마그네틱,O,USB
DrunkDeer,A75 Pro,150200,,,https://drunkdeer.com/products/drunkdeer-a75-pro-wired-actuation-distance-adjustable-magnetic-switch-keyboard?_pos=2&_sid=2ec80dd88&_ss=r,https://drunkdeer.com/cdn/shop/files/DrunkDeer_A75_Pro-1.jpg?v=1782183941&width=3000,,Magnetic Switch / Magnetic Silent Switch,Hall Effect 마그네틱,O,USB
DrunkDeer,A75,128400,,,https://drunkdeer.com/products/adjustable-keyboard-magnetic-switch-a75?_pos=1&_sid=2ec80dd88&_ss=r,https://drunkdeer.com/cdn/shop/files/a75_-_black_HE_Keyboard.jpg?v=1765162231&width=4000,,Magnetic Switch,Hall Effect 마그네틱,O,USB
DrunkDeer,G75,95600,,,https://drunkdeer.com/products/drunkdeer-g75-wired-adjustable-actuation-magnetic-switch-keyboard?_pos=1&_sid=e689c9bea&_ss=r,https://drunkdeer.com/cdn/shop/files/G75_-_black_HE_Keyboard.jpg?v=1765162393&width=4000,,Magnetic / Magnetic Silent Switch,Hall Effect 마그네틱,O,USB
DrunkDeer,G65,69700,,,https://drunkdeer.com/products/g65?_pos=1&_sid=1eb7d3d28&_ss=r,https://drunkdeer.com/cdn/shop/files/G65_-_black_HE_Keyboard.jpg?v=1765174837&width=4000,,Magnetic Switch,Hall Effect 마그네틱,O,USB
한성,GK898B,165630,,,https://www.mypcshop.co.kr/shop/item.php?it_id=5706167323&n_sads=true&n_media=23123&n_query=GK898B&n_rank=1&n_ad_group=grp-a001-02-000000044689932&n_ad=nad-a001-02-000000331620920&n_campaign_type=2&n_mall_id=mypcshop2&n_mall_pid=5706167323&n_ad_group_type=2&n_match=3&NaPm=ct%3Dmu42uz6c%7Cci%3DER3744c635%2Db1ca%2D11f1%2D95f0%2D7a377ecd8059%7Ctr%3Dpla%7Chk%3D6e7cd757cf5d0599d057c71fd886c22b23f19e9a%7Cnacn%3DTINnB8Q9EFH2,https://sitem.ssgcdn.com/54/81/68/item/1000577688154_i2_1200.jpg,,NIZ EC 35g,정전용량 무접점,X,USB / Bluetooth
한성,GK888B minicoup,225000,,,https://prod.danawa.com/info/?pcode=7356133,https://static.superstore.co.kr/img/itemimg/big/131862_1.jpg?resize=837x837,,NIZ EC 50g,정전용량 무접점,X,USB / Bluetooth
한성,TFG Magnetox 2XL ,84000,,,https://www.superstore.co.kr/item/item.html?pn=220563&utm_source=chatgpt.com,https://static.superstore.co.kr/img/itemimg/big/220563_pEbzyk.jpg?resize=837x837,,한성특주 N극 POLARIS2 마그네틱 스위치 35g,Hall Effect 계열 마그네틱 스위치,O,USB-C 유선
한성,GK204 RAINBOW,23900,,,https://www.superstore.co.kr/item/item.html?pn=193956&utm_source=chatgpt.com,https://static.superstore.co.kr/img/itemimg/big/193956_IbWk9K.jpg?resize=837x837,,40g Mechanical Switch,기계식,X,USB 유선
레오폴드(Leopold),FC750RBT MX2A,175000,,,https://leopold.co.kr/product/fc750rbt-mx2a-%EC%BD%94%EB%9E%84-%EB%B8%94%EB%A3%A8/195/?utm_source=chatgpt.com,https://img.danuri.io/catalog-image/368/231/030/c5d019f6296e4b9aad5c5f6adc7688f9.jpg?shrink=330:*&_v=20260916080408,,CHERRY MX2A Red / Brown / Blue / Silent Red 등,기계식,X,USB / Bluetooth
레오폴드(Leopold),FC900RBT MX2A,178000,,,https://www.leopold.co.kr/product/fc900rbt-mx2a-%EA%B7%B8%EB%9D%BC%ED%8C%8C%EC%9D%B4%ED%8A%B8-%EB%B8%94%EB%A3%A8/210/category/90/display/1/?utm_source=chatgpt.com,https://img2.sellpro.co.kr/dimg/6740/1731156740_550.jpg,,CHERRY MX2A Red / Brown / Blue / Silent Red 등,기계식,X,USB / Bluetooth
레오폴드(Leopold),FC660MBT,129830,,,https://www.leopold.co.kr/product/fc660mbt-pd-%EC%95%A0%EC%89%AC-%EC%98%90%EB%A1%9C%EC%9A%B0/120/category/45/display/1/,https://img.danuri.io/catalog-image/005/813/015/1d67c2bef2b142eb828a78d60bb1cfcb.jpg?shrink=500:*&_v=20260916080502,,CHERRY MX 계열,기계식,X,USB / Bluetooth
레오폴드(Leopold),FC980MBT,146500,,,https://www.leopold.co.kr/product/fc980mbt-pd-%ED%99%94%EC%9D%B4%ED%8A%B8-%ED%88%AC%ED%86%A4/115/category/48/display/1/,https://img.danuri.io/catalog-image/636/727/016/dc85bfdaae2a4f81ad33d4f98b1d457b.jpg,,CHERRY MX 계열,기계식,X,USB / Bluetooth
레오폴드(Leopold),FC730MBT MX2A,170000,,,https://www.leopold.co.kr/product/fc730mbt-mx2a-%EC%BD%94%EB%9E%84-%EB%B8%94%EB%A3%A8/217/category/97/display/1/,https://shopping-phinf.pstatic.net/main_5632011/56320118099.1.jpg?type=f300,,CHERRY MX2A 계열,기계식,X,USB / Bluetooth
