제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,모델 번호,카테고리,폼팩터,센서,DPI 범위,폴링레이트,버튼 수,스위치/클릭 방식,연결 방식,배터리/전원,색상,드라이버/소프트웨어 URL
Logitech,G600 MMO,277000,133,75 x 41 x 118,https://support.logi.com/hc/en-001/articles/360023465173-Logitech-G600-MMO-Gaming-Mouse-Technical-Specifications,,https://www.logitech.com/assets/44964/g600-mmo-gaming-mouse-quickstart-guide.pdf,910-003879,게이밍(MMO),일반형,레이저 센서,"200–8,200 DPI",,20개 이상 (G7-G20 프로그래밍 가능 버튼 + 서드핑거 버튼),,USB 유선 (케이블 2.1m),,,https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,G303 Shroud Edition,199410,75,63.5 x 40 x 125,https://www.bhphotovideo.com/c/product/1671736-REG/logitech_g_910_006103_g_pro_lightspeed_wireless.html,,,G303,게이밍(경량 무선),일반형,HERO 25K,"100–25,600 DPI","1,000Hz (1ms)",5개 프로그래밍 가능 버튼,,LIGHTSPEED 무선 2.4GHz,최대 145시간,,https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,M585 Multi-Device,104900,,,https://www.logitech.com/en-us/shop/p/m585-wireless-mouse,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/m585/gallery/m585-gallery-grey-1.png",,M-R0064,생산성(멀티디바이스),일반형,,,,7개 (5개 버튼 + 썸버튼 2개),,Bluetooth 또는 USB Unifying 리시버 (10m),최대 24개월,Grey,
Logitech,M330 Silent Plus,49500,,,https://www.logitech.com/en-us/shop/p/m330-silent-plus-mouse,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/m330-wireless-silent-mouse/2024-update/gallery/m330-wireless-mouse-top-view-black-gallery-01.png",,M-R0051 / M-R0112,생산성(보급형),일반형,,,,,SilentTouch (클릭 소음 90% 감소),USB 무선 리시버 (10m),최대 18개월,Black,
Logitech,Pebble Mouse 2 (M350s),24340,,,https://www.logitech.com/en-us/shop/p/pebble-2-m350s-wireless-mouse,"https://resource.logitech.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/logitech/en/products/mice/pebble-mouse-2-m350s/2026-refresh/gallery/pebble-mouse-2-m350s-tonal-rose-top-angle-gallery-1.png",,M350S,생산성(휴대용),일반형,,,,,SilentTouch (클릭 소음 90% 감소),"Bluetooth (Easy-Switch, 최대 3대)",,Tonal Rose 등 다양한 컬러,
Logitech,G PRO X SUPERLIGHT (1세대),115110,63,,https://www.logitechg.com/en-us/shop/p/pro-x-superlight-wireless-mouse,"https://resource.logitechg.com/w_544,h_466,ar_7:6,c_pad,q_auto,f_auto,dpr_1.0/d_transparent.gif/content/dam/gaming/en/products/pro-x-superlight/pro-x-superlight-black-gallery-6.png",,MR0106,게이밍(초경량),일반형,HERO 25K,,,,,LIGHTSPEED 무선 2.4GHz,,Black,https://www.logitechg.com/en-us/innovation/g-hub.html
Logitech,MX Ergo Wireless Trackball,93770,164,99.8 x 51.4 x 132.5,https://support.logi.com/hc/en-ca/articles/360023463493-MX-Ergo-Wireless-Trackball-Technical-Specifications,,https://www.logitech.com/content/dam/logitech/en/business/pdf/mx-ergo-advanced-wireless-trackball-data-sheet.pdf,MX ERGO,생산성(트랙볼/인체공학),트랙볼,고정밀 광학 센서(트랙볼),"512–2,048 DPI (조절 가능, 최대 4,000 지원)",,6개 프로그래밍 가능 버튼 (틸트 플레이트로 0°/20° 각도 조절),,Logitech Unifying USB 리시버 + Bluetooth Low Energy,"충전식 Li-Po 500mAh, Micro-USB / 완충 시 최대 4개월 사용",Graphite,https://www.logitech.com/en-us/software/logi-options-plus.html
Logitech,ERGO M575S Wireless Trackball,98240,145,100 x 48 x 134,https://www.logitech.com/en-us/shop/p/ergo-m575s-wireless-trackball,,https://www.logitech.com/content/dam/logitech/en/business/pdf/ergo-m575-for-business-data-sheet-w11.pdf,910-007026,생산성(트랙볼/인체공학),트랙볼,Logitech Advanced Optical Tracking,"400–2,000 DPI (기본 400)",,"5개 (좌/우클릭, 뒤로/앞으로, 휠 중클릭 — 3개 프로그래밍 가능)",80% 저소음 클릭 (M575 대비),Logitech Unifying USB 리시버 + Bluetooth Low Energy,"AA 건전지 1개, 최대 24개월(Unifying) / 20개월(Bluetooth)",Black + Blue Ball,https://www.logitech.com/en-us/software/logi-options-plus.html
Logitech,Lift Vertical Ergonomic Mouse,98060,125,70 x 71 x 108,https://www.logitech.com/en-us/shop/p/lift-vertical-ergonomic-mouse,,https://hub.sync.logitech.com/lift/post/specifications---lift-vertical-my3k1FjQMnVAtf0,910-006466,생산성(버티컬/인체공학),버티컬,Logitech Advanced Optical Tracking,"400–4,000 DPI",,"6개 (57° 버티컬 디자인, 좌/우손 모델 별도 출시)",저소음 클릭 및 스크롤,Logi Bolt USB 리시버 + Bluetooth Low Energy,"AA 건전지 1개, 최대 24개월","Off-white (외 Graphite, Rose 등)",https://www.logitech.com/en-us/software/logi-options-plus.html
Razer,DeathAdder V3 Pro,193000,64,,https://www.razer.com/gaming-mice/razer-deathadder-v3-pro,https://assets2.razerzone.com/images/pnx.assets/0e80e38b843acf6f0b5b237456108a2d/razer-deathadder-v3-pro-hero-desktop.webp,,RZ01-0463,게이밍(에르고노믹 무선),일반형,Focus Pro 30K 광학 센서,"최대 30,000","1,000Hz (HyperPolling 동글 사용 시 8,000Hz)",,Razer 광학 스위치 Gen-3 (9천만 클릭),Razer HyperSpeed Wireless,"최대 90시간, USB-C 충전","Black, White",https://www.razer.com/synapse-3
Razer,DeathAdder Essential,22830,,,https://www.razer.com/gaming-mice/razer-deathadder-essential,https://assets2.razerzone.com/images/pnx.assets/a51901df4217f1cbd57c93e233c5d984/razer-deathadder-essential-gaming-mouse-hero-desktop.jpg,,RZ01-0385,게이밍(보급형 유선),일반형,광학 센서,"6,400",,5개,Razer 기계식 스위치 (1천만 클릭),USB 유선,,"Black, White",https://www.razer.com/synapse-3
Razer,DeathAdder V3 HyperSpeed,149000,55,64.8 x 41.3 x 122.2,https://www.razer.com/gaming-mice/razer-deathadder-v3-hyperspeed,https://assets2.razerzone.com/images/pnx.assets/ef0800b3d46c633e4fac8bedf33fc991/dav3hyperspeed-desktop-hero.webp,,RZ01-0514,게이밍(에르고노믹 무선),일반형,Focus X 26K 광학 센서,"최대 26,000","옵션 동글 사용 시 최대 8,000Hz",,"Razer 광학 스위치 Gen-3 (9천만 클릭, 0.2ms)",Razer HyperSpeed Wireless (멀티 디바이스 동글),최대 100시간,Black,https://www.razer.com/synapse-3
Razer,DeathAdder V2 X HyperSpeed,48900,,,https://www.razer.com/gaming-mice/razer-deathadder-v2-x-hyperspeed,https://assets2.razerzone.com/images/pnx.assets/eebd948b7370fee222c1626b5f65d973/razer-deathadder-v2-x-hyperspeed-hero-desktop.jpg,,RZ01-0413,게이밍(에르고노믹 무선),일반형,Razer 5G Advanced 광학 센서,,,7개 (엣지 버튼 2개 + 사이드 버튼 2개 포함),Razer 기계식 스위치 Gen-2 (6천만 클릭),"Razer HyperSpeed Wireless + Bluetooth, AA/AAA 건전지",HyperSpeed 최대 235시간 / Bluetooth 최대 615시간,,https://www.razer.com/synapse-3
Razer,Viper V3 Pro,137200,54,,https://www.razer.com/gaming-mice/razer-viper-v3-pro,https://assets2.razerzone.com/images/pnx.assets/4b970f14388105bbb40f3b70318aaf2c/razer-viper-v3-pro-esports-green_1920x700_screenshot.jpg,,RZ01-0512,게이밍(대칭형 무선),일반형,Focus Pro 35K 광학 센서 Gen-2,"최대 35,000","최대 8,000Hz (HyperPolling 동글)",8개 프로그래밍 가능 컨트롤,"Razer 광학 스위치 Gen-3 (9천만 클릭, 0.2ms)",Razer HyperSpeed Wireless,최대 95시간,"Black, White",https://www.razer.com/synapse-3
Razer,Viper V3 HyperSpeed,103510,,,https://www.razer.com/gaming-mice/razer-viper-v3-hyperspeed,https://assets2.razerzone.com/images/pnx.assets/12020e9a87db9266e4ac0da5e61cbb41/razer-viper-v3-hyperspeed-hero.webp,,RZ01-0491,게이밍(대칭형 무선),일반형,Focus Pro 30K 광학 센서,"최대 30,000","1,000Hz (HyperPolling 동글 사용 시 8,000Hz)",8개 프로그래밍 가능 컨트롤,Razer 기계식 스위치 Gen-2 (6천만 클릭),"Razer HyperSpeed Wireless (2.4GHz), AA 건전지",최대 280시간,,https://www.razer.com/synapse-3
Razer,Viper 8KHz,185980,71,,https://www.razer.com/gaming-mice/razer-viper-8khz,https://assets2.razerzone.com/images/pnx.assets/8128edbe31baab2f16667874d58c78b7/viper-8k-hero-test3.jpg,,RZ01-03580,게이밍(대칭형 유선),일반형,Focus+ 광학 센서,,"8,000Hz (125/500/1000/2000/4000/8000Hz 설정 가능)",8개 프로그래밍 가능 버튼,Razer 광학 스위치 2세대,USB 유선 (SpeedFlex 케이블),,"Black, ESL Edition",https://www.razer.com/synapse-3
Razer,Viper Mini,66120,61,53.5 x 38.3 x 118.3,https://www.razer.com/gaming-mice/razer-viper-mini,,,RZ01-03250,게이밍(소형 유선),일반형,광학 센서,"8,500",,6개 프로그래밍 가능 버튼,Razer 광학 스위치 (0.2ms),USB 유선 (SpeedFlex 케이블),,,https://www.razer.com/synapse-3
Razer,Basilisk V3 Pro,179000,,,https://www.razer.com/gaming-mice/razer-basilisk-v3-pro,https://assets2.razerzone.com/images/pnx.assets/62dd52710c7316e57f1107a6d8a0a14d/razer-basilisk-v3-pro.webp,,RZ01-0462,게이밍(에르고노믹 무선),일반형,Focus Pro 30K 광학 센서,"최대 30,000","최대 8,000Hz (HyperPolling 동글/Mouse Dock Pro)",10+1개 프로그래밍 가능 버튼 (틸트 스크롤 휠 포함),"Razer 광학 스위치 Gen-3 (9천만 클릭, 0.2ms)","Razer HyperSpeed Wireless, 무선충전(Qi) 호환",,"Black, White",https://www.razer.com/synapse-3
Razer,Basilisk V3,59900,,,https://www.razer.com/gaming-mice/razer-basilisk-v3,https://assets2.razerzone.com/pages/basilisk-v3-4D578898E8144Le8da21dde32b7a9f5f/basilisk.png,,RZ01-0400,게이밍(에르고노믹 유선),일반형,Focus+ 26K DPI 광학 센서,"최대 26,000",,11개 프로그래밍 가능 버튼 (10+1),"Razer 광학 스위치 Gen-2 (7천만 클릭, 0.2ms)",USB 유선,,,https://www.razer.com/synapse-3
Razer,Basilisk V3 X HyperSpeed,104800,,,https://www.razer.com/gaming-mice/razer-basilisk-v3-x-hyperspeed,https://assets2.razerzone.com/images/pnx.assets/433606e87c3512c0cd3b44faf9d114b2/razer-basilisk-v3-x-hyperspeed-hero-desktop.webp,,RZ01-0487,게이밍(에르고노믹 무선),일반형,Razer 5G Advanced 18K 광학 센서,"6,400 (Synapse로 커스터마이즈)",,7개 버튼 / 9개 프로그래밍 가능 컨트롤,Razer 기계식 스위치 Gen-2 (6천만 클릭),"Razer HyperSpeed + Bluetooth, AA 건전지",HyperSpeed 최대 285시간 / Bluetooth 최대 535시간,,https://www.razer.com/synapse-3
Razer,Naga V2 Pro,269000,,,https://www.razer.com/gaming-mice/razer-naga-v2-pro,https://assets2.razerzone.com/images/pnx.assets/b02e38fb1e346442e03b6318b2a35086/hero-desktop.webp,,RZ01-0440,게이밍(MMO 무선),일반형,Focus Pro 30K 광학 센서,"최대 30,000",,최대 22개 프로그래밍 가능 컨트롤 (교체형 사이드플레이트: 12/6/2버튼),"Razer 광학 스위치 Gen-3 (9천만 클릭, 0.2ms)",HyperSpeed Wireless + Bluetooth + USB-C 유선,HyperSpeed 최대 150시간 / Bluetooth 최대 300시간,,https://www.razer.com/synapse-3
Razer,Naga V2 HyperSpeed,159000,,,https://www.razer.com/gaming-mice/razer-naga-v2-hyperspeed,https://assets2.razerzone.com/images/pnx.assets/ab56cdd145d460f42fd5f07149da51f6/razer-naga-v2-hyperspeed-hero-desktop.webp,,RZ01-0360,게이밍(MMO 무선),일반형,Focus Pro 30K 광학 센서,"최대 30,000",,21개 프로그래밍 가능 컨트롤 (19버튼 + 듀얼모드 스크롤휠),Razer 기계식 스위치 Gen-2 (6천만 클릭),HyperSpeed Wireless + Bluetooth,HyperSpeed 최대 250시간 / Bluetooth 최대 400시간,,https://www.razer.com/synapse-3
Razer,Orochi V2,39900,60,,https://www.razer.com/gaming-mice/razer-orochi-v2,https://assets2.razerzone.com/images/pnx.assets/dd7b10b2226d082cf25b40c780acc86d/orochi-v2-colors-hero.webp,,RZ01-0373,게이밍(초경량 휴대용),일반형,Focus X 18K 광학 센서,"최대 18,000",,6개 프로그래밍 가능 버튼,Razer 기계식 스위치 Gen-2 (6천만 클릭),"Bluetooth + Razer HyperSpeed (동글 내장), AA 건전지","Bluetooth 최대 1,100시간 / HyperSpeed 최대 445시간","Black, White, Quartz",https://www.razer.com/synapse-3
Razer,Pro Click V2,159000,,,https://www.razer.com/productivity/razer-pro-click-v2,https://assets2.razerzone.com/images/pnx.assets/dba80bde0b599e4391a6d3fea1f55198/pro-click-v2-ogimage-1200x630.webp,,RZ01-0390,생산성(무선),일반형,Focus Pro 30K 광학 센서,"최대 30,000",,9개 프로그래밍 가능 컨트롤,,5-way 멀티 디바이스 무선,최대 3.5개월 사용,,https://www.razer.com/synapse-3
Razer,Pro Click V2 Vertical Edition,212300,,,https://www.razer.com/productivity/razer-pro-click-v2-vertical-edition,https://assets2.razerzone.com/images/pnx.assets/c65341afe3025c81556fcd8cc44ed907/razer-pro-click-v2-vertical-edition-og-image-1200x630.webp,,RZ01-0525,생산성(버티컬/인체공학),버티컬,Focus Pro 30K 광학 센서,"최대 30,000",,6개 프로그래밍 가능 버튼 (Synapse 기준 최대 8개 컨트롤),,5-way 멀티 디바이스 무선 (71.7도 버티컬 디자인),최대 6개월 사용,,https://www.razer.com/synapse-3
Razer,Cobra Pro,170960,77,,https://www.razer.com/gaming-mice/razer-cobra-pro,https://assets2.razerzone.com/images/pnx.assets/608eb80ec16513e41c1a62caf1fb9b55/razer-cobra-pro-hero.webp,,RZ01-0466,게이밍(대칭형 무선),일반형,Focus Pro 30K 광학 센서,"최대 30,000","기본 125Hz (HyperPolling 동글/Dock Pro 사용 시 최대 8,000Hz)",10개 프로그래밍 가능 컨트롤,"Razer 광학 스위치 Gen-3 (9천만 클릭, 0.2ms)",HyperSpeed Wireless + Bluetooth + USB-C 유선,HyperSpeed 최대 100시간 / Bluetooth 최대 170시간,"Black, White",https://www.razer.com/synapse-3
Razer,Cobra,39900,58,,https://www.razer.com/gaming-mice/razer-cobra,https://assets2.razerzone.com/images/pnx.assets/0cf39c832890131444d75991945a1b10/razer-cobra-hero.webp,,RZ01-0465,게이밍(대칭형 유선),일반형,"8,500 DPI 광학 센서","8,500",,,"Razer 광학 스위치 Gen-3 (9천만 클릭, 0.2ms)",USB 유선 (SpeedFlex 케이블),,Black (다양한 콜라보 에디션 존재),https://www.razer.com/synapse-3
SteelSeries,Rival 3 (유선),33600,77,58.3 x 21.5 x 120.6,https://www.adorama.com/ss62513.html,https://www.adorama.com/images/Large/SS62513.jpg,,62513,게이밍(보급형 유선),일반형,TrueMove Core,"200–8,500 (100단위 조절)","1,000Hz (1ms)",6개 프로그래밍 가능 버튼,SteelSeries 기계식 스위치 (6천만 클릭),USB 유선 (1.8m 케이블),,Black (3존 RGB),https://steelseries.com/gg
SteelSeries,Rival 3 Gen 2 (유선),46660,77,,https://steelseries.com/gaming-mice/rival-3-gen-2,https://images.ctfassets.net/hmm5mo4qf4mf/5tCuR4QcYBghleNZoB2yFs/548dfe2f03e7d256050f6520011a729d/rival_3_gen_2_black_pdp_img_buy_01.png,,M-00018,게이밍(보급형 유선),일반형,TrueMove Core 8.5K,"8,500",,,기계식 스위치 (6천만 클릭),USB 유선 (Super Mesh 파라코드 케이블),,Black,https://steelseries.com/gg
SteelSeries,Rival 3 Wireless Gen 2,63000,75,,https://steelseries.com/gaming-mice/rival-3-gen-2,https://images.ctfassets.net/w5r1fvmogo3f/5heFOFlRxDVgYHHhFO7ZXF/9459bc50970530d2562bddf583c944b9/rival_3_wl_gen_2_black_pdp_img_buy_01.png,,M-00022,게이밍(보급형 무선),일반형,TrueMove Air 18K,,,,정밀 기계식 스위치 (6천만 클릭),"2.4GHz 무선(USB 동글) + Bluetooth, AAA 건전지",175시간(2.4GHz) / 450시간(Bluetooth),Black,https://steelseries.com/gg
SteelSeries,Rival 5,92070,85,,https://steelseries.com/gaming-mice/rival-5,https://images.ctfassets.net/hmm5mo4qf4mf/4csGDZSusZa2hwhSlijszd/1125aaded0bf6964b93b21052a52d497/imgbuy_rival5_001.jpg,,M-00023,게이밍(전천후 유선),일반형,TrueMove Air,"18,000",,9개 프로그래밍 가능 버튼,"Micro IP54 스위치 (방진방수, 8천만 클릭)",USB 유선 (마이크로 메시 케이블),,,https://steelseries.com/gg
SteelSeries,Rival 600,116080,96,62 x 27 x 131,https://steelseries.com/gaming-mice/rival-600,https://images.ctfassets.net/hmm5mo4qf4mf/1IQd3hBtvSh2f7mohyO0Ol/5c7913bfeff7a4af87f2b84575823732/03_rival600_kv_dual_hero.png,,M-00009,게이밍(듀얼센서 유선),일반형,TrueMove3+ (듀얼 센서),"12,000",,,"기계식 스위치 (6천만 클릭, 분리형 트리거)",USB 유선,,,https://steelseries.com/gg
SteelSeries,Rival 650 Wireless,141500,,,https://steelseries.com/gaming-mice/rival-650-wireless,,,62456,게이밍(듀얼센서 무선),일반형,"TrueMove3+ (듀얼 센서, 12,000 CPI)","12,000","1,000Hz (1ms)",,,Quantum Wireless 2.4GHz,"24시간 이상, 15분 충전 시 10시간 이상 사용",,https://steelseries.com/gg
SteelSeries,Aerox 3 Wireless (2022),155500,68,,https://steelseries.com/gaming-mice/aerox-3-2022,https://images.ctfassets.net/hmm5mo4qf4mf/5HgkBzBn6smRlx1iRVmxgU/b73afd509ada7a986e28df9774ff608c/aerox_3_wl_black_img_buy_01.png,,62608,게이밍(초경량 무선),일반형,TrueMove Air,"18,000",,,방진방수 스위치 (8천만 클릭),"Quantum 2.0 (2.4GHz + Bluetooth 5.0), USB-C 충전",200시간,Onyx(Black),https://steelseries.com/gg
SteelSeries,Aerox 3 Wireless Gen 2,147870,68,,https://steelseries.com/gaming-mice/aerox-3-wireless-gen-2,https://images.ctfassets.net/w5r1fvmogo3f/7pfahKQYd0MigA1YUw1k97/8d5299a5d4cc13a585947c48fd27fcd2/aerox_3_wl_gen_2_shadow_pdp_img_buy_01.png,,M-00019,게이밍(초경량 무선),일반형,TrueMove 26K,,"4,000Hz (2.4GHz 기준)",6개 프로그래밍 가능 버튼,기계식 스위치 (8천만 클릭),2.4GHz 무선 + Bluetooth,120시간(2.4GHz) / 200시간(Bluetooth),"Shadow, Ghost, White, Magenta, Black",https://steelseries.com/gg
