제조사,모델명,가격(원),무게(g),크기(mm),상품 URL,이미지 URL,설명서 URL,모델코드,화면크기(inch),해상도,최대주사율(Hz),패널,"응답속도(ms, GtG)",밝기(nit),곡률,HDMI 버전,HDMI 개수,DP 버전,DP 개수,DP 커넥터,USB-C 영상입력,USB-C 전력공급(W),VESA 규격(mm),포트별 제한,참고사항
Dell,Dell UltraSharp 32 4K USB-C Hub U3223QE,1299000,,,https://www.delltechnologies.com/asset/no-no/products/electronics-and-accessories/technical-support/dell-ultrasharp-27-and-32-usbc-hub-monitors-u2723qe-u3223qe-datasheet.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/u-series/u3223qe/pdp/monitor-u3223qe-pdp-hero-504x350.psd?fmt=jpg&wid=756&hei=525,https://www.dell.com/support/product-details/ko-kr/product/u3223qe-monitor/resources/manuals,U3223QE,31.5,3840x2160,60,IPS,5,400,평면,2,1,1.4,1,표준,USB-C,90,100x100,,패널 원문 'IPS Black'. 응답 Fast 5ms/Normal 8ms. DP Out 1개 별도(입력 아님). VESA 홀은 커버 뒤. 별도 USB-C(KVM)는 데이터 전용.  |  공식가 참고: 일시 품절(가격은 표시됨)
Dell,Dell UltraSharp 32 6K U3224KB,2849000,,,https://www.delltechnologies.com/asset/en-us/products/electronics-and-accessories/technical-support/dell-ultrasharp-32-6k-monitor-u3224kb-datasheet.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/u-series/u3224kb/pdp/monitor-ultrasharp-u3224kb-pdp-hero.psd?fmt=jpg&wid=3000&hei=2000,https://www.dell.com/support/product-details/ko-kr/product/u3224kb-monitor/resources/manuals,U3224KB,31.5,6144x3456,60,IPS,5,450,평면,2.1,1,2.1,1,mini,Thunderbolt,140,100x100,HDMI 60Hz(10bit) / DP 60Hz(10bit) / THUNDERBOLT 60Hz,패널 원문 'IPS Black'. 응답 Fast 5ms/Normal 8ms. 퀵액세스 USB-C는 15W(영상 아님).  |  공식가 참고: 일시 품절(가격은 표시됨)
Dell,Dell UltraSharp 40 Curved Thunderbolt Hub U4025QW,2299000,,,https://www.delltechnologies.com/asset/en-us/products/electronics-and-accessories/technical-support/dell-ultrasharp-40-curved-thunderbolt-hub-monitor-u4025qw-cvaa-datasheet.pdf,https://i.dell.com/is/image/DellContent/content/dam/ss2/product-images/dell-client-products/peripherals/monitors/u-series/u4025qw/media-gallery/monitor-ultrasharp-u4025qw-gray-gallery-1.psd?fmt=jpg&wid=1200&hei=630,https://www.dell.com/support/product-details/ko-kr/product/u4025qw-monitor/resources/manuals,U4025QW,39.7,5120x2160,120,IPS,5,450,곡면(R 미표기),2.1,1,1.4,1,표준,Thunderbolt,140,100x100,HDMI 120Hz / DP 120Hz / THUNDERBOLT 120Hz,"패널 원문 'IPS Black'. 21:9. 응답 Fast 5ms/Normal 8ms. VESA 홀은 커버 뒤. 곡면이나 R 미표기.  |  공식가 참고: 재고 제한  |  해외구매 ₩3,665,600"
GIGABYTE,GIGABYTE AORUS FO32U2,1309370,,,https://www.gigabyte.com/Monitor/AORUS-FO32U2/sp,https://static.gigabyte.com/StaticFile/Image/Global/32644633cd1199177a11a8eb2e24eb52/ProductRemoveBg/45045,https://www.gigabyte.com/kr/Monitor/AORUS-FO32U2/support,FO32U2,31.5,3840x2160,240,OLED,0.03,250,미표기,2.1,2,1.4,1,표준,USB-C,18,100x100,,SDR 250 / HDR 1000nits(APL 3%). USB-C PD 18W로 낮음(노트북 급전용 아님). 곡률 항목 없음.  |  공식가 참고: 공식 직판몰 없음
LG,LG UltraGear 27GP850-B,435880,,,https://www.lg.com/uk/monitors/gaming/27gp850-b/,https://www.lg.com/us/images/monitors/md08000370/450.jpg,https://www.lge.co.kr/support/product-27GP850-BC,27GP850-B,27,2560x1440,165,IPS,1,400,평면,미표기,2,1.4,1,표준,없음,해당없음,100x100,DP 165Hz / DP 180Hz [오버클럭] / HDMI 144Hz,"패널 원문 'Nano IPS'. 오버클럭 180Hz. HDMI 버전 미표기(개수 2개만 확인).  |  공식가 참고: 단종  |  해외구매 ₩496,900"
LG,LG UltraGear 27GR75Q,424520,,,https://www.lg.com/uk/monitors/gaming/27gr75q-b/,https://www.lg.com/content/dam/channel/wcms/hk_en/images/monitor/27gr75q-b_ahk_echk_hk_en_c/27GR75Q-B_AHK_ECHK_HK_EN_C-450x450.jpg,https://www.lge.co.kr/support/product-27GR75Q-BB,27GR75Q,27,2560x1440,165,IPS,1,미표기,미표기,미표기,2,1.4,1,미표기,미표기,미표기,미표기,,UK 페이지에서 밝기·VESA·곡률·HDMI 버전이 확인되지 않음(해당 섹션 동적 로드 의심).
LG,LG UltraGear OLED 27GS95QE,1530840,,,https://www.lg.com/uk/monitors/gaming/27gs95qe-b/,https://www.lge.co.kr/kr/images/monitors/md10306839/gallery/medium19.jpg,https://www.lge.co.kr/support/product-27GS95QE-BB,27GS95QE,26.5,2560x1440,240,OLED,0.03,275,미표기,2.1,2,1.4,1,미표기,미표기,미표기,100x100,,패널 실측 26.5인치(마케팅 27인치). DP 1.4 DSC. 곡률 항목 자체가 스펙표에 없음.
LG,LG 27MK600M,,,,https://www.lg.com/uk/business/monitor-products/ips/27mk600m-b/,https://www.lg.com/us/images/monitors/md05998958/MK600M-450.jpg,https://www.lge.co.kr/support/product-27MK600M-WB,27MK600M,27,1920x1080,75,IPS,5,250,평면,미표기,2,없음,없음,없음,없음,해당없음,100x100,,HDMI 버전 미표기. DP 없음(D-Sub 1포트 별도 존재).  |  최저가 참고: 가격비교 중지
LG,LG 27QN600,297850,,,https://www.lg.com/uk/monitors/27qn600-b/,https://www.lg.com/content/dam/channel/wcms/uk/images/monitors/27QN600-B_AEK_EEUK_UK_C/27QN600_450_basic.jpg,https://www.lg.com/us/support/product/lg-27QN600-B.AUS  (영문),27QN600,27,2560x1440,75,IPS,5,350,평면,1.4,2,1.2,1,표준,미표기,미표기,100x100,HDMI 75Hz / DP 75Hz,HDMI/DP 모두 2560x1440@75Hz. VRR 48~75Hz. 스펙표에 USB-C 항목 자체가 없어 unknown.  |  공식가 참고: 단종
LG,LG UltraFine 27U730A,861100,,,https://www.lg.com/uk/monitors/uhd-4k-5k/27u730a-b/,https://www.lg.com/content/dam/channel/wcms/za/images/mn/27u730a-b/gallery/ultrafine-uhd-4k-5k-27u730a-2025-black-gallery-basic.jpg,https://www.lg.com/uk/support/product-support/cs-27U730A-B.AAU/  (영문),27U730A,27,3840x2160,60,IPS,5,300,미표기,미표기,2,1.4,1,미표기,USB-C,90,100x100,USB-C 60Hz,HDMI 버전 미표기. USB-C는 3840x2160@60Hz 명시. 10bit(8bit+FRC).  |  최저가 참고: 판매처 3곳
LG,LG UltraGear 32GS95UE-B (Dual-Mode OLED),,,,https://www.lg.com/uk/monitors/gaming/32gs95ue-b/,https://www.lg.com/content/dam/channel/wcms/uk/images/monitors/32gs95ue/gallery/DZ-01.jpg,https://www.lge.co.kr/support/product-32GS95UE-BB,32GS95UE-B,31.5,3840x2160,240,OLED,0.03,275,평면,2.1,2,1.4,1,표준,미표기,미표기,100x100,듀얼모드 4K 240Hz / 듀얼모드 FHD 1920x1080@480,WOLED(QD-OLED 아님). 스펙표에 USB-C 항목 자체가 없어 '없음'이 아닌 unknown.  |  최저가 참고: 가격비교 중지
LG,LG UltraWide 34WP65C-B,882650,,,https://www.lg.com/uk/monitors/ultrawide/34wp65c-b/,https://www.lg.com/content/dam/channel/wcms/uk/images/monitors/34WP65C-B_AEK_EEUK_UK_C/gallery/large01.jpg,https://www.lge.co.kr/support/product-34WP65C-BL,34WP65C-B,34,3440x1440,160,VA,5,300,곡면(R 미표기),미표기,2,1.4,1,표준,없음,해당없음,100x100,DP 160Hz / HDMI 85Hz(10bit) / HDMI 100Hz(8bit),"원문 '5ms(GtG at Faster), 1ms MBR' → GtG 5 채택. HDMI 버전 미표기. 곡면이나 R 미표기.  |  최저가 참고: 단종품이라 공식가보다 높음"
LG,LG Curved UltraWide 40WP95C,4740500,,,https://www.lg.com/uk/monitors/21-9-ultrawide-monitors/40wp95c-w/,https://www.lg.com/us/images/monitors/md08001731/450.jpg,https://www.lge.co.kr/support/product-40WP95C-WL,40WP95C,39.7,5120x2160,72,IPS,5,300,곡면(R 미표기),미표기,2,1.4,1,미표기,Thunderbolt,96,100x100,HDMI 3440x1440@72 [포트 제한] / DP 72Hz / USB-C 72Hz,패널 원문 'Nano IPS'. ★HDMI는 3440x1440@72Hz로 제한 — 5120x2160은 DP/TB/USB-C만. 곡면이나 R 미표기.  |  최저가 참고: ★판매처 1곳뿐인 단종품 — 시세로 보기 어려움
MSI,MSI Optix MAG274QRF-QD,591000,,,https://www.msi.com/Monitor/Optix-MAG274QRF-QD/Specification,https://storage-asset.msi.com/global/picture/product/product_16421394998e3c22d5813d74e8ff6a05b8ef5e5c22.webp,https://kr.msi.com/Monitor/Optix-MAG274QRF-QD/support,MAG274QRF-QD,27,2560x1440,165,IPS,1,300,평면,2.0b,2,1.2a,1,표준,USB-C,미표기,100x100,HDMI 144Hz / DP 165Hz / USB-C 165Hz,"패널 원문 'Rapid IPS'. HDMI는 144Hz 제한, 165Hz는 DP/USB-C. USB-C PD 와트 미표기. URL에 'Optix-' 접두사 필요.  |  공식가 참고: 미국 공식몰 페이지 없음 — 후속 E2 모델로 대체된 듯  |  최저가 참고: ★판매처 1곳"
MSI,MSI MPG 271QRX QD-OLED,,,,https://www.msi.com/Monitor/MPG-271QRX-QD-OLED/Specification,https://storage-asset.msi.com/global/picture/product/product_1720170492e7c7b59c400cd5c1cc144be20b26f26b.webp,https://www.msi.com/Monitor/MPG-271QRX-QD-OLED/support  (영문),MPG271QRX-QD-OLED,26.5,2560x1440,360,QD-OLED,0.03,250,평면,2.1,2,1.4a,1,표준,USB-C,90,100x100,HDMI 360Hz,스펙표에 'QD-OLED' 명시.  |  공식가 참고: 미국 공식몰 재고 있음  |  최저가 참고: 일시품절·판매처 0곳
MSI,MSI MPG 341CQPX QD-OLED,,,,https://www.msi.com/Monitor/MPG-341CQPX-QD-OLED/Specification,https://storage-asset.msi.com/global/picture/product/product_17391693875aaf79ee202c427d9f601dd5a744b522.webp,https://www.msi.com/Monitor/MPG-341CQPX-QD-OLED/support  (영문),MPG341CQPX-QD-OLED,34.18,3440x1440,240,QD-OLED,0.03,250,1800R,2.1,2,1.4a,1,표준,USB-C,98,100x100,HDMI 240Hz,21:9. SDR 250nits / HDR 450nits(Typ) / 1000nits Peak.  |  공식가 참고: 정가 $899.99에서 할인. 단 품절 상태  |  최저가 참고: 다나와 미등록
Samsung,Samsung ViewFinity S9 (S90PC),1314980,,,https://www.samsung.com/sg/monitors/high-resolution/viewfinity-s9-27-inch-5k-resolution-ls27c900paexxs/,https://images.samsung.com/is/image/samsung/p6pim/us/ls27c900panxza/gallery/us--ls27c900panxza-550362462?$product-details-jpg$,https://www.samsung.com/sec/support/model/LS27C900PAKXKR/,LS27C900PANXZA,27,5120x2880,60,IPS,5,600,평면,없음,없음,미표기,1,mini,Thunderbolt,90,100x100,,"5K. HDMI 항목 자체가 커넥티비티 목록에 없음. ★DP 버전은 미표기 — 스펙표의 '2.2'는 HDCP 버전이지 DP 버전이 아님(1차 수집 오류 정정). Thunderbolt 4.0.  |  공식가 참고: 정가 1,439,000원 / 최대혜택가. 한국 모델코드 LS27C900PAKXKR"
Samsung,Samsung Odyssey G5 G55C,239000,,,https://www.samsung.com/levant/monitors/gaming/odyssey-g5-g55c-27-inch-165hz-curved-qhd-ls27cg552emxue/,https://images.samsung.com/is/image/samsung/p6pim/levant/ls27cg552emxue/gallery/levant-odyssey-g5-g55c-ls27cg552emxue-539138616?$1164_776_PNG$,https://www.samsung.com/ae/support/model/LS27CG552EMXUE/  (영문),LS27CG552EMXUE,27,2560x1440,165,VA,미표기,300,1000R,2,1,1.2,1,표준,없음,해당없음,75x75,,스펙표에 MPRT 1ms만 있고 GtG 없음. 미국 페이지 미로드로 Levant 페이지 사용(지역 SKU 상이).  |  공식가 참고: 이 SKU는 중동 전용 — 한국·미국몰에 동일 코드 없음  |  최저가 참고: 다나와 등록명 S27CG550 — 사양 일치하나 전체 SKU 미확인
Samsung,Samsung Essential Monitor S3 (S36GD),,,,https://www.samsung.com/ca/monitors/curved/essential-monitor-s3-27-inch-100hz-ls27d368ganxza/,https://images.samsung.com/is/image/samsung/p6pim/us/ls27d368ganxza/gallery/us-curved-ls27d368ganxza----inch-essential-monitor-s--s--gd-black-552141772?$product-details-jpg$,https://www.samsung.com/us/support/downloads/?modelCode=LS27D368GANXZA  (영문),LS27D368GANXZA,27,1920x1080,100,VA,4,250,1800R,1.4,1,없음,없음,없음,없음,해당없음,75x75,,DP 없음(D-Sub 1포트 별도 존재).  |  공식가 참고: 한국은 다른 모델코드로 판매  |  최저가 참고: 곡면 S36GD 국내 미등록(평면 S30GD만 존재)
Samsung,Samsung Odyssey G5 (G50D),305000,,,https://www.samsung.com/sg/monitors/gaming/odyssey-g5-g50d-27-inch-180hz-ips-qhd-ls27dg502eexxs/,https://images.samsung.com/is/image/samsung/p6pim/us/ls27dg500enxza/gallery/us-gaming-ls27dg500enxza----inch-odyssey-g--g--d-black-552002000?$product-details-jpg$,https://www.samsung.com/us/support/downloads/?modelCode=LS27DG500ENXZA  (영문),LS27DG500ENXZA,27,2560x1440,180,IPS,1,350,평면,2,1,1.2,1,미표기,없음,해당없음,100x100,,HDMI 버전이 '2'로만 표기되어 2.0/2.1 구분 불가. US 페이지 미로드로 SG 페이지 사용(SKU 상이).  |  공식가 참고: 한국은 LS27DG504EKXKR로 코드가 달라 동일 SKU 아님
Samsung,Samsung ViewFinity S8 (S80UD),665000,,,https://www.samsung.com/sg/monitors/high-resolution/viewfinity-s8-32-inch-uhd-usbc-easysetupstand-ls32d804uaexxs/,https://images.samsung.com/is/image/samsung/p6pim/us/ls32d804uanxgo/gallery/us-high-resolution-ls32d804uanxgo-----viewfinity-s---s--ud---k-uhd-hdr---high-resolution-monitor-with-usb-c-and-ergonomic-stand-black-552046531?$product-details-jpg$,https://www.samsung.com/sec/support/model/LS32D804UAKXKR/,LS32D804UANXGO,32,3840x2160,60,VA,미표기,350,평면,2,1,1.2,1,미표기,USB-C,90,100x100,,"응답속도가 '5ms'로만 적히고 GtG/MPRT 구분이 없어 unknown. USB-C 영상 지원 여부도 명시 없음(PD 90W만 표기). US 미로드로 SG 페이지 사용.  |  공식가 참고: 한국 삼성닷컴은 '상품 정보 확인만 가능'(온라인 판매 안 함), 미국몰은 품절  |  최저가 참고: 판매처 2곳"
Samsung,Samsung Odyssey G7 (G70D),752380,,,https://www.samsung.com/ca/support/model/LS32DG702ENXZA/,https://images.samsung.com/is/image/samsung/p6pim/us/ls32dg702enxza/gallery/us-gaming-ls32dg702enxza----inch-odyssey-g--g--d-black-552007733,https://www.samsung.com/sec/support/model/LS32DG702EKXKR/,LS32DG702ENXZA,32,3840x2160,144,IPS,1,350,평면,2.1,2,1.4,1,미표기,없음,해당없음,100x100,,"|  공식가 참고: 정가 799,000원 / 최대혜택가. 한국 모델코드 LS32DG702EKXKR"
