name,type,field,key,value,unit,source_url,source_type,method,confidence,raw,fetched_at
ASUS PRIME B760M-K,mainboard,socket,,LGA1700,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b760m-k/techspec/,mainboard_spec,text-regex,0.75,"RIME B760M-K News & Updates CPU Intel ® Socket LGA1700 for Intel ® Core TM 14 th & 13 th Gen Processors, Intel ® Core TM 12 th Gen, Pentium ® Gold and Celeron ® Processors* Supports Intel ® Turbo Boos",2026-09-08T06:35:45+00:00
ASUS PRIME B760M-K,mainboard,form_factor,,mATX,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b760m-k/techspec/,mainboard_spec,text-regex,0.7,"ystem Windows ® 11, Windows ® 10 64-bit Form Factor mATX Form Factor 9.6 inch x 8.3 inch (24.4cm x 21.1cm) Products certified by the Federal Communications Commission and Industry Canada will be distr",2026-09-08T06:35:45+00:00
ASUS ROG STRIX Z890-E GAMING WIFI,mainboard,form_factor,,ITX,,https://www.asus.com/motherboards-components/motherboards/rog-strix/rog-strix-z890-e-gaming-wifi/techspec/,mainboard_spec,text-regex,0.7,ASUS Global Skip to content Accessibility help Gaming Business Environment AI Mobile / Handhelds Laptops Displays / Desktops Motherboards / Components Networking / IoT / Servers Accessories Support Su,2026-09-08T06:35:45+00:00
ASUS TUF GAMING Z890-PLUS WIFI,mainboard,socket,,LGA1851,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-z890-plus-wifi/techspec/,mainboard_spec,text-regex,0.55,(page-wide unique socket token),2026-09-08T06:35:49+00:00
ASUS TUF GAMING Z890-PLUS WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-z890-plus-wifi/techspec/,mainboard_spec,text-regex,0.7,rating System Windows 11 (22H2 & later) Form Factor ATX Form Factor 12 inch x 9.6 inch ( 30.5 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis,2026-09-08T06:35:49+00:00
ASUS PRIME B860M-A WIFI,mainboard,socket,,LGA1851,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b860m-a-wifi/techspec/,mainboard_spec,text-regex,0.55,(page-wide unique socket token),2026-09-08T06:35:49+00:00
ASUS PRIME B860M-A WIFI,mainboard,form_factor,,mATX,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b860m-a-wifi/techspec/,mainboard_spec,text-regex,0.7,"later), Windows 10 64-bit(21H2 & later) Form Factor micro-ATX Form Factor 9.6 inch x 9.6 inch (24.4 cm x 24.4 cm) Products certified by the Federal Communications Commission and Industry Canada will b",2026-09-08T06:35:49+00:00
ASUS ROG CROSSHAIR X870E HERO,mainboard,form_factor,,ITX,,https://www.asus.com/motherboards-components/motherboards/rog-crosshair/rog-crosshair-x870e-hero/techspec/,mainboard_spec,text-regex,0.7,ASUS Global Skip to content Accessibility help Gaming Business Environment AI Mobile / Handhelds Laptops Displays / Desktops Motherboards / Components Networking / IoT / Servers Accessories Support Su,2026-09-08T06:35:49+00:00
ASUS ROG STRIX X870E-E GAMING WIFI,mainboard,form_factor,,ITX,,https://www.asus.com/motherboards-components/motherboards/rog-strix/rog-strix-x870e-e-gaming-wifi/techspec/,mainboard_spec,text-regex,0.7,ASUS Global Skip to content Accessibility help Gaming Business Environment AI Mobile / Handhelds Laptops Displays / Desktops Motherboards / Components Networking / IoT / Servers Accessories Support Su,2026-09-08T06:35:53+00:00
ASUS TUF GAMING X870-PLUS WIFI,mainboard,socket,,AM5,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-x870-plus-wifi/techspec/,mainboard_spec,text-regex,0.75,"UF GAMING X870-PLUS WIFI News & Updates Socket AM5, Please visit our GLOBAL website to check and download the latest updates. CPU AMD Socket AM5 for AMD Ryzen ™ 9000 & 8000 & 7000 Series Desktop Proce",2026-09-08T06:35:56+00:00
ASUS TUF GAMING X870-PLUS WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-x870-plus-wifi/techspec/,mainboard_spec,text-regex,0.7,start guide Operating System Windows 11 Form Factor ATX Form Factor 12 inch x 9.6 inch ( 30.5 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis,2026-09-08T06:35:56+00:00
ASUS PRIME X870-P WIFI,mainboard,socket,,AM5,,https://www.asus.com/motherboards-components/motherboards/prime/prime-x870-p-wifi/techspec/,mainboard_spec,text-regex,0.75," Model PRIME X870-P WIFI News & Updates Socket AM5, Please visit our GLOBAL website to check and download the latest updates. CPU AMD Socket AM5 for AMD Ryzen ™ 9000 & 8000 & 7000 Series Desktop Proce",2026-09-08T06:35:56+00:00
ASUS PRIME X870-P WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/prime/prime-x870-p-wifi/techspec/,mainboard_spec,text-regex,0.7,start guide Operating System Windows 11 Form Factor ATX Form Factor 12 inch x 9.6 inch ( 30.5 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis,2026-09-08T06:35:56+00:00
ASUS ROG STRIX B850-E GAMING WIFI,mainboard,form_factor,,ITX,,https://www.asus.com/motherboards-components/motherboards/rog-strix/rog-strix-b850-e-gaming-wifi/techspec/,mainboard_spec,text-regex,0.7,ASUS Global Skip to content Accessibility help Gaming Business Environment AI Mobile / Handhelds Laptops Displays / Desktops Motherboards / Components Networking / IoT / Servers Accessories Support Su,2026-09-08T06:35:57+00:00
ASUS TUF GAMING B850-PLUS WIFI,mainboard,socket,,AM5,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b850-plus-wifi/techspec/,mainboard_spec,text-regex,0.75,"UF GAMING B850-PLUS WIFI News & Updates Socket AM5, Please visit our GLOBAL website to check and download the latest updates. CPU AMD Socket AM5 for AMD Ryzen™ 9000 & 8000 & 7000 Series Desktop Proces",2026-09-08T06:36:00+00:00
ASUS TUF GAMING B850-PLUS WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b850-plus-wifi/techspec/,mainboard_spec,text-regex,0.7,start guide Operating System Windows 11 Form Factor ATX Form Factor 12 inch x 9.6 inch ( 30.5 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis,2026-09-08T06:36:00+00:00
ASUS PRIME B850M-A WIFI,mainboard,socket,,AM5,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b850m-a-wifi/techspec/,mainboard_spec,text-regex,0.75,"Model PRIME B850M-A WIFI News & Updates Socket AM5, Please visit our GLOBAL website to check and download the latest updates. CPU AMD Socket AM5 for AMD Ryzen™ 9000 & 8000 & 7000 Series Desktop Proces",2026-09-08T06:36:00+00:00
ASUS PRIME B850M-A WIFI,mainboard,form_factor,,mATX,,https://www.asus.com/motherboards-components/motherboards/prime/prime-b850m-a-wifi/techspec/,mainboard_spec,text-regex,0.7," System Windows® 11, Windows® 10 64-bit Form Factor mATX Form Factor 9.6 inch x 9.6 inch (24.4 cm x 24.4 cm) Products certified by the Federal Communications Commission and Industry Canada will be dis",2026-09-08T06:36:00+00:00
ASUS ROG STRIX B650E-F GAMING WIFI,mainboard,form_factor,,ITX,,https://www.asus.com/motherboards-components/motherboards/rog-strix/rog-strix-b650e-f-gaming-wifi/techspec/,mainboard_spec,text-regex,0.7,ASUS Global Skip to content Accessibility help Gaming Business Environment AI Mobile / Handhelds Laptops Displays / Desktops Motherboards / Components Networking / IoT / Servers Accessories Support Su,2026-09-08T06:36:00+00:00
ASUS TUF GAMING B650-PLUS WIFI,mainboard,socket,,AM5,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b650-plus-wifi/techspec/,mainboard_spec,text-regex,0.75,UF GAMING B650-PLUS WIFI News & Updates Socket AM5 CPU AMD Socket AM5 for AMD Ryzen™ 9000 & 8000 & 7000 Series Desktop Processors* * Refer to www.asus.com for CPU support list. Chipset AMD B650 Memory,2026-09-08T06:36:04+00:00
ASUS TUF GAMING B650-PLUS WIFI,mainboard,form_factor,,ATX,,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b650-plus-wifi/techspec/,mainboard_spec,text-regex,0.7,g System Windows® 11 Windows® 10 64-bit Form Factor ATX Form Factor 12 inch x 9.6 inch ( 30.5 cm x 24.4 cm ) Products certified by the Federal Communications Commission and Industry Canada will be dis,2026-09-08T06:36:04+00:00
ASUS PRIME A620M-E,mainboard,socket,,AM5,,https://www.asus.com/motherboards-components/motherboards/prime/prime-a620m-e/techspec/,mainboard_spec,text-regex,0.75,0M-E Model PRIME A620M-E News & Updates Socket AM5 CPU AMD Socket AM5 for AMD Ryzen™ 9000 & 8000 & 7000 Series Desktop Processors* Supports up to AMD 120W CPU * Refer to www.asus.com for CPU support l,2026-09-08T06:36:04+00:00
ASUS PRIME A620M-E,mainboard,form_factor,,mATX,,https://www.asus.com/motherboards-components/motherboards/prime/prime-a620m-e/techspec/,mainboard_spec,text-regex,0.7,"ystem Windows ® 11, Windows ® 10 64-bit Form Factor micro-ATX Form Factor 8.9 inch x 8.7 inch (22.6 cm x 22.1 cm) Products certified by the Federal Communications Commission and Industry Canada will b",2026-09-08T06:36:04+00:00
